⚡ CONTROL GROUP (CPU-ONLY) 6-HOUR BURN STARTED
PID: 1477059
Time: 1772967034
Mode: Pure CPU Izhikevich SNN (No GPU)
✅ CPU SNN Initialized: 10000 neurons
[0h1m] Steps: 5950, v_avg: -70.00
[0h2m] Steps: 11901, v_avg: -70.00
[0h3m] Steps: 17854, v_avg: -70.00
[0h4m] Steps: 23805, v_avg: -70.00
[0h5m] Steps: 29755, v_avg: -70.00
[0h6m] Steps: 35705, v_avg: -70.00
[0h7m] Steps: 41658, v_avg: -70.00
[0h8m] Steps: 47609, v_avg: -70.00
[0h9m] Steps: 53561, v_avg: -70.00
[0h10m] Steps: 59511, v_avg: -70.00
[0h11m] Steps: 65462, v_avg: -70.00
[0h12m] Steps: 71412, v_avg: -70.00
[0h13m] Steps: 77361, v_avg: -70.00
[0h14m] Steps: 83312, v_avg: -70.00
[0h15m] Steps: 89260, v_avg: -70.00
[0h16m] Steps: 95210, v_avg: -70.00
[0h17m] Steps: 101159, v_avg: -70.00
[0h18m] Steps: 107111, v_avg: -70.00
[0h19m] Steps: 113064, v_avg: -70.00
[0h20m] Steps: 119017, v_avg: -70.00
[0h21m] Steps: 124967, v_avg: -70.00
[0h22m] Steps: 130920, v_avg: -70.00
[0h23m] Steps: 136872, v_avg: -70.00
[0h24m] Steps: 142823, v_avg: -70.00
[0h25m] Steps: 148774, v_avg: -70.00
[0h26m] Steps: 154725, v_avg: -70.00
[0h27m] Steps: 160678, v_avg: -70.00
[0h28m] Steps: 166630, v_avg: -70.00
[0h29m] Steps: 172583, v_avg: -70.00
[0h30m] Steps: 178535, v_avg: -70.00
[0h31m] Steps: 184489, v_avg: -70.00
[0h32m] Steps: 190443, v_avg: -70.00
[0h33m] Steps: 196396, v_avg: -70.00
[0h34m] Steps: 202348, v_avg: -70.00
[0h35m] Steps: 208300, v_avg: -70.00
[0h36m] Steps: 214251, v_avg: -70.00
[0h37m] Steps: 220204, v_avg: -70.00
[0h38m] Steps: 226157, v_avg: -70.00
[0h39m] Steps: 232110, v_avg: -70.00
[0h40m] Steps: 238063, v_avg: -70.00
[0h41m] Steps: 244015, v_avg: -70.00
[0h42m] Steps: 249966, v_avg: -70.00
[0h43m] Steps: 255917, v_avg: -70.00
[0h44m] Steps: 261868, v_avg: -70.00
[0h45m] Steps: 267819, v_avg: -70.00
[0h46m] Steps: 273771, v_avg: -70.00
[0h47m] Steps: 279724, v_avg: -70.00
[0h48m] Steps: 285677, v_avg: -70.00
[0h49m] Steps: 291630, v_avg: -70.00
[0h50m] Steps: 297583, v_avg: -70.00
[0h51m] Steps: 303536, v_avg: -70.00
[0h52m] Steps: 309489, v_avg: -70.00
[0h53m] Steps: 315442, v_avg: -70.00
[0h54m] Steps: 321394, v_avg: -70.00
[0h55m] Steps: 327346, v_avg: -70.00
[0h56m] Steps: 333298, v_avg: -70.00
[0h57m] Steps: 339252, v_avg: -70.00
[0h58m] Steps: 345202, v_avg: -70.00
[0h59m] Steps: 351154, v_avg: -70.00
[1h0m] Steps: 357104, v_avg: -70.00
[1h1m] Steps: 363054, v_avg: -70.00
[1h2m] Steps: 369006, v_avg: -70.00
[1h3m] Steps: 374958, v_avg: -70.00
[1h4m] Steps: 380910, v_avg: -70.00
[1h5m] Steps: 386862, v_avg: -70.00
[1h6m] Steps: 392814, v_avg: -70.00
[1h7m] Steps: 398765, v_avg: -70.00
[1h8m] Steps: 404717, v_avg: -70.00
[1h9m] Steps: 410667, v_avg: -70.00
[1h10m] Steps: 416620, v_avg: -70.00
[1h11m] Steps: 422570, v_avg: -70.00
[1h12m] Steps: 428523, v_avg: -70.00
[1h13m] Steps: 434474, v_avg: -70.00
[1h14m] Steps: 440426, v_avg: -70.00
[1h15m] Steps: 446378, v_avg: -70.00
[1h16m] Steps: 452331, v_avg: -70.00
[1h17m] Steps: 458283, v_avg: -70.00
[1h18m] Steps: 464235, v_avg: -70.00
[1h19m] Steps: 470189, v_avg: -70.00
[1h20m] Steps: 476142, v_avg: -70.00
[1h21m] Steps: 482092, v_avg: -70.00
[1h22m] Steps: 488044, v_avg: -70.00
[1h23m] Steps: 493994, v_avg: -70.00
[1h24m] Steps: 499946, v_avg: -70.00
[1h25m] Steps: 505897, v_avg: -70.00
[1h26m] Steps: 511848, v_avg: -70.00
[1h27m] Steps: 517799, v_avg: -70.00
[1h28m] Steps: 523752, v_avg: -70.00
[1h29m] Steps: 529705, v_avg: -70.00
[1h30m] Steps: 535658, v_avg: -70.00
[1h31m] Steps: 541608, v_avg: -70.00
[1h32m] Steps: 547559, v_avg: -70.00
[1h33m] Steps: 553508, v_avg: -70.00
[1h34m] Steps: 559461, v_avg: -70.00
[1h35m] Steps: 565414, v_avg: -70.00
[1h36m] Steps: 571366, v_avg: -70.00
[1h37m] Steps: 577320, v_avg: -70.00
[1h38m] Steps: 583270, v_avg: -70.00
[1h39m] Steps: 589220, v_avg: -70.00
[1h40m] Steps: 595172, v_avg: -70.00
[1h41m] Steps: 601121, v_avg: -70.00
[1h42m] Steps: 607074, v_avg: -70.00
[1h43m] Steps: 613027, v_avg: -70.00
[1h44m] Steps: 618979, v_avg: -70.00
[1h45m] Steps: 624931, v_avg: -70.00
[1h46m] Steps: 630883, v_avg: -70.00
[1h47m] Steps: 636833, v_avg: -70.00
[1h48m] Steps: 642783, v_avg: -70.00
[1h49m] Steps: 648736, v_avg: -70.00
[1h50m] Steps: 654687, v_avg: -70.00
[1h51m] Steps: 660640, v_avg: -70.00
[1h52m] Steps: 666590, v_avg: -70.00
[1h53m] Steps: 672541, v_avg: -70.00
[1h54m] Steps: 678493, v_avg: -70.00
[1h55m] Steps: 684446, v_avg: -70.00
[1h56m] Steps: 690396, v_avg: -70.00
[1h57m] Steps: 696348, v_avg: -70.00
[1h58m] Steps: 702299, v_avg: -70.00
[1h59m] Steps: 708250, v_avg: -70.00
[2h0m] Steps: 714201, v_avg: -70.00
[2h1m] Steps: 720151, v_avg: -70.00
[2h2m] Steps: 726105, v_avg: -70.00
[2h3m] Steps: 732057, v_avg: -70.00
[2h4m] Steps: 738008, v_avg: -70.00
[2h5m] Steps: 743961, v_avg: -70.00
[2h6m] Steps: 749911, v_avg: -70.00
[2h7m] Steps: 755862, v_avg: -70.00
[2h8m] Steps: 761814, v_avg: -70.00
[2h9m] Steps: 767767, v_avg: -70.00
[2h10m] Steps: 773719, v_avg: -70.00
[2h11m] Steps: 779671, v_avg: -70.00
[2h12m] Steps: 785623, v_avg: -70.00
[2h13m] Steps: 791574, v_avg: -70.00
[2h14m] Steps: 797526, v_avg: -70.00
[2h15m] Steps: 803479, v_avg: -70.00
[2h16m] Steps: 809428, v_avg: -70.00
[2h17m] Steps: 815378, v_avg: -70.00
[2h18m] Steps: 821326, v_avg: -70.00
[2h19m] Steps: 827277, v_avg: -70.00
[2h20m] Steps: 833227, v_avg: -70.00
[2h21m] Steps: 839179, v_avg: -70.00
[2h22m] Steps: 845130, v_avg: -70.00
[2h23m] Steps: 851082, v_avg: -70.00
[2h24m] Steps: 857034, v_avg: -70.00
[2h25m] Steps: 862985, v_avg: -70.00
[2h26m] Steps: 868937, v_avg: -70.00
[2h27m] Steps: 874887, v_avg: -70.00
[2h28m] Steps: 880838, v_avg: -70.00
[2h29m] Steps: 886791, v_avg: -70.00
[2h30m] Steps: 892742, v_avg: -70.00
[2h31m] Steps: 898693, v_avg: -70.00
[2h32m] Steps: 904646, v_avg: -70.00
[2h33m] Steps: 910598, v_avg: -70.00
[2h34m] Steps: 916549, v_avg: -70.00
[2h35m] Steps: 922501, v_avg: -70.00
[2h36m] Steps: 928452, v_avg: -70.00
[2h37m] Steps: 934402, v_avg: -70.00
[2h38m] Steps: 940354, v_avg: -70.00
[2h39m] Steps: 946304, v_avg: -70.00
[2h40m] Steps: 952257, v_avg: -70.00
[2h41m] Steps: 958210, v_avg: -70.00
[2h42m] Steps: 964161, v_avg: -70.00
[2h43m] Steps: 970113, v_avg: -70.00
[2h44m] Steps: 976066, v_avg: -70.00
[2h45m] Steps: 982019, v_avg: -70.00
[2h46m] Steps: 987971, v_avg: -70.00
[2h47m] Steps: 993922, v_avg: -70.00
[2h48m] Steps: 999875, v_avg: -70.00
[2h49m] Steps: 1005828, v_avg: -70.00
[2h50m] Steps: 1011780, v_avg: -70.00
[2h51m] Steps: 1017733, v_avg: -70.00
[2h52m] Steps: 1023684, v_avg: -70.00
[2h53m] Steps: 1029636, v_avg: -70.00
[2h54m] Steps: 1035590, v_avg: -70.00
[2h55m] Steps: 1041542, v_avg: -70.00
[2h56m] Steps: 1047494, v_avg: -70.00
[2h57m] Steps: 1053445, v_avg: -70.00
[2h58m] Steps: 1059396, v_avg: -70.00
[2h59m] Steps: 1065347, v_avg: -70.00
[3h0m] Steps: 1071299, v_avg: -70.00
[3h1m] Steps: 1077250, v_avg: -70.00
[3h2m] Steps: 1083202, v_avg: -70.00
[3h3m] Steps: 1089155, v_avg: -70.00
[3h4m] Steps: 1095106, v_avg: -70.00
[3h5m] Steps: 1101058, v_avg: -70.00
[3h6m] Steps: 1107010, v_avg: -70.00
[3h7m] Steps: 1112961, v_avg: -70.00
[3h8m] Steps: 1118912, v_avg: -70.00
[3h9m] Steps: 1124863, v_avg: -70.00
[3h10m] Steps: 1130816, v_avg: -70.00
[3h11m] Steps: 1136768, v_avg: -70.00
[3h12m] Steps: 1142720, v_avg: -70.00
[3h13m] Steps: 1148670, v_avg: -70.00
[3h14m] Steps: 1154620, v_avg: -70.00
[3h15m] Steps: 1160572, v_avg: -70.00
[3h16m] Steps: 1166524, v_avg: -70.00
[3h17m] Steps: 1172476, v_avg: -70.00
[3h18m] Steps: 1178427, v_avg: -70.00
[3h19m] Steps: 1184378, v_avg: -70.00
[3h20m] Steps: 1190329, v_avg: -70.00
[3h21m] Steps: 1196280, v_avg: -70.00
[3h22m] Steps: 1202232, v_avg: -70.00
[3h23m] Steps: 1208184, v_avg: -70.00
[3h24m] Steps: 1214132, v_avg: -70.00
[3h25m] Steps: 1220081, v_avg: -70.00
[3h26m] Steps: 1226033, v_avg: -70.00
[3h27m] Steps: 1231985, v_avg: -70.00
[3h28m] Steps: 1237936, v_avg: -70.00
[3h29m] Steps: 1243887, v_avg: -70.00
[3h30m] Steps: 1249838, v_avg: -70.00
[3h31m] Steps: 1255790, v_avg: -70.00
[3h32m] Steps: 1261742, v_avg: -70.00
