⚡ HETERO GROUP (CPU+GPU) 6-HOUR BURN STARTED
PID: 1502812
Time: 1772967296
Architecture: CPU(GridWorld+Curiosity+Rhythm) + GPU(SNN)
✅ GPU Layer Initialized
✅ CPU Layer Initialized
[0h1m] Steps: 5800, Energy: 0.51, Reward: 69.51
[0h2m] Steps: 11633, Energy: 0.52, Reward: 139.42
[0h3m] Steps: 17466, Energy: 0.53, Reward: 209.29
[0h4m] Steps: 23304, Energy: 0.53, Reward: 279.24
[0h5m] Steps: 29135, Energy: 0.54, Reward: 349.18
[0h6m] Steps: 34970, Energy: 0.55, Reward: 419.16
[0h7m] Steps: 40809, Energy: 0.56, Reward: 489.19
[0h8m] Steps: 46646, Energy: 0.57, Reward: 559.08
[0h9m] Steps: 52476, Energy: 0.58, Reward: 628.82
[0h10m] Steps: 58311, Energy: 0.58, Reward: 698.62
[0h11m] Steps: 64138, Energy: 0.59, Reward: 768.33
[0h12m] Steps: 69967, Energy: 0.60, Reward: 838.06
[0h13m] Steps: 75800, Energy: 0.61, Reward: 907.84
[0h14m] Steps: 81637, Energy: 0.62, Reward: 977.67
[0h15m] Steps: 87471, Energy: 0.63, Reward: 1047.46
[0h16m] Steps: 93297, Energy: 0.63, Reward: 1117.16
[0h17m] Steps: 99130, Energy: 0.64, Reward: 1186.94
[0h18m] Steps: 104969, Energy: 0.65, Reward: 1256.79
[0h19m] Steps: 110803, Energy: 0.66, Reward: 1326.58
[0h20m] Steps: 116638, Energy: 0.67, Reward: 1396.38
[0h21m] Steps: 122469, Energy: 0.67, Reward: 1466.14
[0h22m] Steps: 128300, Energy: 0.68, Reward: 1535.89
[0h23m] Steps: 134135, Energy: 0.69, Reward: 1605.70
[0h24m] Steps: 139965, Energy: 0.70, Reward: 1675.44
[0h25m] Steps: 145793, Energy: 0.71, Reward: 1745.16
[0h26m] Steps: 151627, Energy: 0.71, Reward: 1814.95
[0h27m] Steps: 157455, Energy: 0.72, Reward: 1884.67
[0h28m] Steps: 163293, Energy: 0.73, Reward: 1954.51
[0h29m] Steps: 169130, Energy: 0.74, Reward: 2024.34
[0h30m] Steps: 174967, Energy: 0.74, Reward: 2094.17
[0h31m] Steps: 180803, Energy: 0.75, Reward: 2163.98
[0h32m] Steps: 186636, Energy: 0.76, Reward: 2233.76
[0h33m] Steps: 192472, Energy: 0.77, Reward: 2303.58
[0h34m] Steps: 198298, Energy: 0.77, Reward: 2373.27
[0h35m] Steps: 204130, Energy: 0.78, Reward: 2443.04
[0h36m] Steps: 209952, Energy: 0.79, Reward: 2512.69
[0h37m] Steps: 215789, Energy: 0.79, Reward: 2582.51
[0h38m] Steps: 221624, Energy: 0.80, Reward: 2652.32
[0h39m] Steps: 227465, Energy: 0.81, Reward: 2722.19
[0h40m] Steps: 233300, Energy: 0.81, Reward: 2792.00
[0h41m] Steps: 239131, Energy: 0.82, Reward: 2861.75
[0h42m] Steps: 244962, Energy: 0.83, Reward: 2931.51
[0h43m] Steps: 250803, Energy: 0.83, Reward: 3001.38
[0h44m] Steps: 256632, Energy: 0.84, Reward: 3071.11
[0h45m] Steps: 262467, Energy: 0.85, Reward: 3140.92
[0h46m] Steps: 268300, Energy: 0.85, Reward: 3210.70
[0h47m] Steps: 274133, Energy: 0.86, Reward: 3280.48
[0h48m] Steps: 279970, Energy: 0.86, Reward: 3350.30
[0h49m] Steps: 285806, Energy: 0.87, Reward: 3420.12
[0h50m] Steps: 291644, Energy: 0.88, Reward: 3489.96
[0h51m] Steps: 297473, Energy: 0.88, Reward: 3559.69
[0h52m] Steps: 303308, Energy: 0.89, Reward: 3629.49
[0h53m] Steps: 309135, Energy: 0.89, Reward: 3699.20
[0h54m] Steps: 314974, Energy: 0.90, Reward: 3769.05
[0h55m] Steps: 320811, Energy: 0.90, Reward: 3838.88
[0h56m] Steps: 326648, Energy: 0.91, Reward: 3908.71
[0h57m] Steps: 332483, Energy: 0.91, Reward: 3978.51
[0h58m] Steps: 338317, Energy: 0.92, Reward: 4048.30
[0h59m] Steps: 344156, Energy: 0.92, Reward: 4118.61
[1h0m] Steps: 349989, Energy: 0.93, Reward: 4189.81
[1h1m] Steps: 355819, Energy: 0.93, Reward: 4260.98
[1h2m] Steps: 361658, Energy: 0.93, Reward: 4332.25
[1h3m] Steps: 367489, Energy: 0.94, Reward: 4403.43
[1h4m] Steps: 373324, Energy: 0.94, Reward: 4474.66
[1h5m] Steps: 379153, Energy: 0.95, Reward: 4545.82
[1h6m] Steps: 384989, Energy: 0.95, Reward: 4617.06
[1h7m] Steps: 390824, Energy: 0.95, Reward: 4688.28
[1h8m] Steps: 396656, Energy: 0.96, Reward: 4759.48
[1h9m] Steps: 402493, Energy: 0.96, Reward: 4830.73
[1h10m] Steps: 408329, Energy: 0.96, Reward: 4901.97
[1h11m] Steps: 414160, Energy: 0.97, Reward: 4973.15
[1h12m] Steps: 419995, Energy: 0.97, Reward: 5044.38
[1h13m] Steps: 425827, Energy: 0.97, Reward: 5115.57
[1h14m] Steps: 431657, Energy: 0.98, Reward: 5186.73
[1h15m] Steps: 437491, Energy: 0.98, Reward: 5257.95
[1h16m] Steps: 443314, Energy: 0.98, Reward: 5329.03
[1h17m] Steps: 449151, Energy: 0.98, Reward: 5400.28
[1h18m] Steps: 454984, Energy: 0.98, Reward: 5471.49
[1h19m] Steps: 460817, Energy: 0.99, Reward: 5542.69
[1h20m] Steps: 466646, Energy: 0.99, Reward: 5613.85
[1h21m] Steps: 472483, Energy: 0.99, Reward: 5685.10
[1h22m] Steps: 478312, Energy: 0.99, Reward: 5756.25
[1h23m] Steps: 484149, Energy: 0.99, Reward: 5827.51
[1h24m] Steps: 489981, Energy: 0.99, Reward: 5898.70
[1h25m] Steps: 495816, Energy: 1.00, Reward: 5969.93
[1h26m] Steps: 501649, Energy: 1.00, Reward: 6041.13
[1h27m] Steps: 507488, Energy: 1.00, Reward: 6112.41
[1h28m] Steps: 513322, Energy: 1.00, Reward: 6183.62
[1h29m] Steps: 519155, Energy: 1.00, Reward: 6254.83
[1h30m] Steps: 524991, Energy: 1.00, Reward: 6326.07
[1h31m] Steps: 530823, Energy: 1.00, Reward: 6397.26
[1h32m] Steps: 536655, Energy: 1.00, Reward: 6468.45
[1h33m] Steps: 542490, Energy: 1.00, Reward: 6539.68
[1h34m] Steps: 548324, Energy: 1.00, Reward: 6610.89
[1h35m] Steps: 554159, Energy: 1.00, Reward: 6682.12
[1h36m] Steps: 559992, Energy: 1.00, Reward: 6753.32
[1h37m] Steps: 565828, Energy: 1.00, Reward: 6824.56
[1h38m] Steps: 571664, Energy: 1.00, Reward: 6895.80
[1h39m] Steps: 577500, Energy: 1.00, Reward: 6967.04
[1h40m] Steps: 583335, Energy: 1.00, Reward: 7038.27
[1h41m] Steps: 589153, Energy: 0.99, Reward: 7109.29
[1h42m] Steps: 594991, Energy: 0.99, Reward: 7180.56
[1h43m] Steps: 600821, Energy: 0.99, Reward: 7251.72
[1h44m] Steps: 606659, Energy: 0.99, Reward: 7322.99
[1h45m] Steps: 612497, Energy: 0.99, Reward: 7394.25
[1h46m] Steps: 618330, Energy: 0.99, Reward: 7465.46
[1h47m] Steps: 624162, Energy: 0.99, Reward: 7536.65
[1h48m] Steps: 629996, Energy: 0.98, Reward: 7607.86
[1h49m] Steps: 635828, Energy: 0.98, Reward: 7679.06
[1h50m] Steps: 641663, Energy: 0.98, Reward: 7750.28
[1h51m] Steps: 647494, Energy: 0.98, Reward: 7821.46
[1h52m] Steps: 653324, Energy: 0.97, Reward: 7892.63
[1h53m] Steps: 659162, Energy: 0.97, Reward: 7963.90
[1h54m] Steps: 664996, Energy: 0.97, Reward: 8035.11
[1h55m] Steps: 670832, Energy: 0.96, Reward: 8106.35
[1h56m] Steps: 676669, Energy: 0.96, Reward: 8177.60
[1h57m] Steps: 682498, Energy: 0.96, Reward: 8246.49
[1h58m] Steps: 688334, Energy: 0.95, Reward: 8314.88
[1h59m] Steps: 694170, Energy: 0.95, Reward: 8383.27
[2h0m] Steps: 700001, Energy: 0.95, Reward: 8451.60
[2h1m] Steps: 705826, Energy: 0.94, Reward: 8519.86
[2h2m] Steps: 711657, Energy: 0.94, Reward: 8588.20
[2h3m] Steps: 717490, Energy: 0.93, Reward: 8656.55
[2h4m] Steps: 723321, Energy: 0.93, Reward: 8724.88
[2h5m] Steps: 729158, Energy: 0.93, Reward: 8793.29
[2h6m] Steps: 734982, Energy: 0.92, Reward: 8861.54
[2h7m] Steps: 740813, Energy: 0.92, Reward: 8929.87
[2h8m] Steps: 746649, Energy: 0.91, Reward: 8998.26
[2h9m] Steps: 752484, Energy: 0.91, Reward: 9066.64
[2h10m] Steps: 758322, Energy: 0.90, Reward: 9135.05
[2h11m] Steps: 764153, Energy: 0.90, Reward: 9203.38
[2h12m] Steps: 769985, Energy: 0.89, Reward: 9271.73
[2h13m] Steps: 775814, Energy: 0.89, Reward: 9340.04
[2h14m] Steps: 781652, Energy: 0.88, Reward: 9408.45
[2h15m] Steps: 787486, Energy: 0.88, Reward: 9476.82
[2h16m] Steps: 793324, Energy: 0.87, Reward: 9545.23
[2h17m] Steps: 799161, Energy: 0.86, Reward: 9613.63
[2h18m] Steps: 804995, Energy: 0.86, Reward: 9682.00
[2h19m] Steps: 810835, Energy: 0.85, Reward: 9750.44
[2h20m] Steps: 816669, Energy: 0.85, Reward: 9818.80
[2h21m] Steps: 822504, Energy: 0.84, Reward: 9887.18
[2h22m] Steps: 828333, Energy: 0.83, Reward: 9955.49
[2h23m] Steps: 834163, Energy: 0.83, Reward: 10023.81
[2h24m] Steps: 840000, Energy: 0.82, Reward: 10092.21
[2h25m] Steps: 845823, Energy: 0.81, Reward: 10160.45
[2h26m] Steps: 851658, Energy: 0.81, Reward: 10228.83
[2h27m] Steps: 857474, Energy: 0.80, Reward: 10296.99
[2h28m] Steps: 863306, Energy: 0.79, Reward: 10365.33
[2h29m] Steps: 869141, Energy: 0.79, Reward: 10433.71
[2h30m] Steps: 874974, Energy: 0.78, Reward: 10502.07
[2h31m] Steps: 880806, Energy: 0.77, Reward: 10570.41
[2h32m] Steps: 886639, Energy: 0.77, Reward: 10638.77
[2h33m] Steps: 892478, Energy: 0.76, Reward: 10707.19
[2h34m] Steps: 898309, Energy: 0.75, Reward: 10775.52
[2h35m] Steps: 904145, Energy: 0.74, Reward: 10843.91
[2h36m] Steps: 909981, Energy: 0.74, Reward: 10912.30
[2h37m] Steps: 915820, Energy: 0.73, Reward: 10980.73
[2h38m] Steps: 921657, Energy: 0.72, Reward: 11049.13
